Package Name,App Name,F-droid Page,App Description
com.phikal.regex,ReGeX,https://f-droid.org/packages/com.phikal.regex/,A regular expression matching game.
org.geometerplus.fbreader.plugin.local_opds_scanner,FBReader Calibre connector,https://f-droid.org/packages/org.geometerplus.fbreader.plugin.local_opds_scanner/,View local book catalogues
free.rm.skytube.oss,SkyTube,https://f-droid.org/packages/free.rm.skytube.oss/,A YouTube player. 
it.lucci.cm.greyscaletheme,Greyscale,https://f-droid.org/packages/it.lucci.cm.greyscaletheme/,A simple AOSP-like theme for CyanogenMod.
com.gunshippenguin.openflood,Open Flood,https://f-droid.org/packages/com.gunshippenguin.openflood/,A simple but an addictive flood fill game.
